สถานที่ท่องเที่ยว,หาดบางแสน,หาดวอนนภา,อ่างเก็บน้ำบางพระ,แหลมแท่น,หาดถ้ำพัง,วัดหลวงพี่แซม ถ้ำลอดพระมหาจักรพรรดิ,หอพระพนัสบดี,วัดแสนสุขสุทธิวราราม,ศาลเจ้าแม่เขาสามมุข อ่างศิลา,วัดป่าอัมพวัน,สวนสัตว์เปิดเขาเขียว,เกาะลอย,J Park ศรีราชา,วัดเขาตะแบก,ตลาดจีนโบราณซากแง้ว,แกรนด์แคนยอนคีรี,Red temp coffee,น้ำตกชันตาเถร,Monster Aquarium,Parody Art Museum,Art in Paradise,เกาะล้าน,Silver Lake พัทยา,เกาะขาม
J Park ศรีราชา,0.1232994246,0.1666824429,0.1406489211,0.09505710516,0.06005969508,0.1206959258,0.1359277999,0.1206352867,0.207457864,0,0.1019019804,0.09236393379,1,0.03426668398,0.252826821,0.1814112364,0.2696521262,0.1844834997,0.09980413741,0.1122466358,0.08481165548,0.07312972079,0.1522860076,-0.02921566832
วัดเขาตะแบก,-0.09152348019,0.008778889802,0.2330888542,0.04930627958,-0.04277300516,0.04933615109,0.06441322826,0.1572454475,0.04570753354,0.2309249213,0.1680578684,0.08482782924,0.03426668398,1,0.1633208885,0.2016008583,0.02470863007,0.1333255935,0.08042182109,0.01125016642,-0.03462480364,0.08678550621,0.1011424249,-0.04421416228
ตลาดจีนโบราณซากแง้ว,0.08438102488,0.09831146447,0.2103505798,0.2198581333,0.0557300616,0.06392074725,0.2666655555,0.1760097373,0.1182118953,0.06396618081,0.1848634617,0.2126694662,0.252826821,0.1633208885,1,0.07086782381,0.193877738,0.1326852233,0.08654763137,0.1175193543,0.1453204298,0.1397916809,0.1652506357,0.0607082908
แกรนด์แคนยอนคีรี,0.06020858532,0.2005807123,0.04382565198,0.09859954571,0.0286215667,0.05840113987,0.078043654,0.1908086785,0.08444774405,0.3107713914,0.1259603138,-0.02225751188,0.1814112364,0.2016008583,0.07086782381,1,0.086574844,0.1419108739,0.02209613263,0.04841919325,0.09122730958,-0.011439688,0.1176627547,-0.01234781566
Red temp coffee,0.1431051951,0.134932053,0.3687514619,0.2761929626,0.04121789463,0.1937846827,0.1864353053,0.3545160739,0.2368340367,0.07963817188,0.03370599755,0.2958690872,0.2696521262,0.02470863007,0.193877738,0.086574844,1,0.1618406106,0.3331512368,0.2138236399,0.1359015395,0.05484473923,0.1794819763,0.2198435673
น้ำตกชันตาเถร,0.1355379124,0.3197191914,0.2075901639,0.1667267761,-0.001888938367,0.110740372,-0.01397694831,0.09230712917,0.02164768292,0.1555980056,0.1060216149,0.1377319501,0.1844834997,0.1333255935,0.1326852233,0.1419108739,0.1618406106,1,0.1791634777,0.07470527542,0.0355325709,0.2323855834,0.130730738,0.0431335952
Monster Aquarium,0.0570704744,-0.04033014932,0.02791153704,0.1351987103,-0.151610361,-0.1245754475,-0.05847965746,0.1045908756,-0.03226930427,0.01914067653,0.03087433271,0.09966405638,0.09980413741,0.08042182109,0.08654763137,0.02209613263,0.3331512368,0.1791634777,1,0.3123176195,0.2322997891,0.1456503818,-0.01820700235,0.2246900785
Parody Art Museum,0.1222309684,-0.03378394577,0.1184778807,0.02349844798,-0.1742386516,0.03394253769,0.1678949291,0.09830927099,0.04268044555,0.05595728927,0.1427633406,0.1948714858,0.1122466358,0.01125016642,0.1175193543,0.04841919325,0.2138236399,0.07470527542,0.3123176195,1,0.3631933084,0.1709208106,0.099929923,0.1236273294
Art in Paradise,0.1683633018,-0.005062666099,0.02226098848,0.1294811601,-0.08647973209,0.08714176133,0.1344496794,0.06740326923,0.06915960523,0.1066571699,0.06962716908,0.1631914979,0.08481165548,-0.03462480364,0.1453204298,0.09122730958,0.1359015395,0.0355325709,0.2322997891,0.3631933084,1,0.1360988304,0.2057186571,0.07414322058
เกาะล้าน,0.1756476223,0.06075552838,0.1824917111,0.1729233523,-0.1355242669,0.1223342957,0.1543788875,0.002011185656,0.1370874221,0.1092959456,-0.03141536642,0.07078197079,0.07312972079,0.08678550621,0.1397916809,-0.011439688,0.05484473923,0.2323855834,0.1456503818,0.1709208106,0.1360988304,1,0.2891703401,0.1134448226
Silver Lake พัทยา,0.1405901404,0.155077587,0.1310839101,0.1754614835,0.1167018034,0.2135996348,0.2746696617,0.2928787849,0.1357038576,0.1081272463,0.02619823327,0.05614742554,0.1522860076,0.1011424249,0.1652506357,0.1176627547,0.1794819763,0.130730738,-0.01820700235,0.099929923,0.2057186571,0.2891703401,1,-0.05319472786
เกาะขาม,0.09091443549,0.006848954307,0.01321924446,0.0589493737,-0.03549438396,0.007496730929,0.1994130154,0.1072288056,0.1478534786,-0.06670298629,-0.09917202231,0.2062604598,-0.02921566832,-0.04421416228,0.0607082908,-0.01234781566,0.2198435673,0.0431335952,0.2246900785,0.1236273294,0.07414322058,0.1134448226,-0.05319472786,1
